step 0
step 1
5 1114.4183515739128 1121.1390243236344
6 688.3250301282891 1231.25988137846
7 1063.1400717223532 1168.6084332563614
8 1369.2539534308369 1141.7740962467788
9 1344.9789648849858 833.0843391279751
step 11
0 1253.2965840510751 887.6505668506356
1 1127.95616681583 944.3170804216483
10 1107.9980894815385 870.1347324783056
11 950.5700885804417 865.6003519368857
12 703.1519928452358 939.5204463416956
13 1274.8710502988758 1229.6753933921466
14 1133.2969869308397 916.4339386426103
15 891.9447169810736 1052.2220235380582
16 669.1060822771734 800.3383130729545
17 1151.1450783337023 1415.1586672345288
18 693.2806082687778 835.6304328986184
19 1266.4611854435216 1331.6373032642189
2 1028.4020270670433 971.4301830693473
20 625.0089785396757 1342.2771175457997
21 941.885700313055 1257.185579436825
22 1129.2050867938424 1167.306148960694
23 1337.408681862191 1381.3887262166086
24 861.8410223711672 1070.9456977846428
25 842.6814641728789 1266.9709578939412
26 1093.1845811990377 1174.136385417933
27 1272.4397520945565 987.927044050285
28 1120.2710183071715 1086.595224081857
3 864.7621567488003 1033.1817354890586
4 829.4758474469068 1305.7763244518835
5 1113.9837416422865 1126.8139435058451
6 696.5759786158235 1231.987638687173
7 1056.23240331068 1168.0753400136098
8 1368.4580671600443 1148.358627915372
9 1344.4256208339334 839.413211711887
step 12
0 1245.788519220272 887.0715693493165
1 1127.4098858674172 951.4610312758525
10 1116.0788751734165 870.7188549288865
11 942.9447569415602 864.988357181436
12 710.9312226916346 940.1328826582865
13 1274.1226954893727 1238.610158412595
14 1132.7598587804468 923.4590793114215
15 898.9063659668498 1052.7653113032027
16 669.7734819352265 789.4339067077119
17 1160.4936600395622 1415.826715759089
18 700.2659086252933 836.2040792828539
19 1265.7579196177705 1340.4913309894334
2 1016.3919901477778 970.5510255657647
20 625.7862832612353 1334.6086404721175
21 934.6283063761598 1256.725896678569
22 1134.3273253879067 1167.7359378936208
23 1337.8605844598494 1377.391211306271
24 861.418628868566 1076.08692515725
25 842.3318956063558 1270.776282957536
26 1091.3337849360275 1173.9935518418667
27 1269.909757588845 988.0595121170397
28 1120.121441785767 1088.550663483631
29 961.4157907190745 1240.7301695806493
3 863.9106445942117 1044.7048422524497
30 1097.687047714575 1253.06266964215
4 833.9496991145828 1292.0555928107055
5 1113.4848645567142 1133.3280310507055
6 704.5940546049969 1232.6948559739799
7 1049.0921541692219 1167.5242975573099
8 1367.6627882368175 1154.9381348719842
9 1343.9119538123457 845.2882782712952
step 13
0 1237.1289381881093 886.4037706697524
1 1126.8842839441284 958.3345536268678
10 1120.374788548481 871.0293865459603
11 935.0194354378788 864.3522858044516
12 718.7490883309927 940.7483606593623
13 1273.3558101431752 1247.7661633969851
14 1132.1952400201562 930.843771795685
15 905.9559742532879 1053.315463420741
16 670.4897707055486 777.730718472291
17 1171.574118437207 1416.664506515984
18 707.4320517213407 840.0039285260419
19 1265.070435382703 1349.1466704856136
2 1008.2423508942576 969.9544565002916
20 626.694647403061 1325.1549222851604
21 927.2961512403854 1256.261478551886
22 1141.3736052967508 1171.5379502976832
23 1338.601653130246 1370.8357432145976
24 860.8601466311421 1082.884577461264
25 838.5736339551333 1276.708844260522
26 1087.212136162452 1173.675467217759
27 1265.144541737875 988.3090142128041
28 1116.5878850810911 1092.7920389398835
29 961.6611056126318 1238.4924479581161
3 862.9674591275794 1056.8724863424552
30 1097.8148608229096 1251.338146508802
31 842.8534384858044 1265.0988840694006
32 881.5638877532058 950.3251756179149
33 1345.673205534791 1194.7151074733383
34 1337.2219249985023 1383.0407710401444
4 835.239215658094 1277.9906715477869
5 1113.033455121759 1139.2223097476315
6 712.517734541189 1233.3937472583189
7 1042.6199765120778 1167.024812931053
8 1366.8573973886191 1161.6012998745364
9 1343.364875863225 851.5454823143625
step 14
0 1229.6121336358078 885.824099189582
1 1126.5491896451492 962.7167258596456
10 1126.4123687136448 872.1817296043196
11 927.346168262178 863.7364438331008
12 726.7305017778856 941.376714307361
13 1272.6059649323702 1256.7314200539236
14 1131.60250968399 938.5961377574997
15 912.6059317035987 1053.8344267480886
16 671.1856963014781 766.3602369228616
17 1184.382715004186 1417.607146882455
18 715.1940240105754 840.6413567125196
19 1264.3319159222087 1358.4445370097603
2 998.2267474523513 969.2034083829524
20 627.6541389858877 1314.2341635424418
21 919.282886746015 1255.7539190122723
22 1150.0670455958402 1172.2648582413754
23 1339.413701050072 1363.6523951120785
24 860.1032602655893 1092.0971360744256
25 837.7781560061277 1285.3869417128494
26 1080.6654211546197 1173.1702302369279
27 1258.799566072504 988.4782427507096
28 1116.1130733325094 1098.9993339945117
29 962.1372023051729 1234.1495731824887
3 862.058888196718 1068.2939104371121
30 1098.047482426158 1248.199490847061
31 842.6876106832071 1266.9040483601743
32 883.1385658776409 950.4506742939394
33 1343.8904529182962 1194.576710750224
34 1337.4978431890554 1380.6000081711438
35 1120.5088093443858 957.7853730218538
36 1316.6640687306192 952.9556851236729
4 836.5048975162654 1264.1857182351189
5 1112.5124499861597 1146.0253343057213
6 720.7482204979681 1234.1196997131615
7 1035.352044413623 1166.4639166546892
8 1365.9357584889563 1169.226209041262
9 1342.8498966403847 857.4355571756003
step 15
0 1221.1070493213624 885.1682147935963
1 1125.212714307911 968.7342619674616
10 1131.8699667910817 877.9799335821633
11 918.8801162883727 863.0571776411747
12 734.2517579233524 941.9688410989353
13 1271.9088791455144 1265.0813890007994
14 1131.0666067600866 945.6052535941894
15 919.1085392264588 1054.3418908727413
16 671.8310945707409 755.8153034477741
17 1196.3894675720571 1418.5246522852588
18 721.7690941650145 841.181314198624
19 1263.626859116374 1367.3566936041664
2 987.3060669636777 968.3690075190892
20 628.7690105349681 1301.5448982747273
21 912.0576164385151 1255.296270962163
22 1161.284426130207 1173.2028071703744
23 1340.1096052630023 1357.496450265178
24 859.2510940915026 1102.4694075067348
25 836.8436394166794 1295.581851633591
26 1073.9873354217734 1172.6548548357753
27 1251.3548173708887 987.9761164447478
28 1115.5167634259176 1106.7949952123945
29 966.0652753833541 1227.6980331940679
3 861.1315336276685 1079.581348963386
30 1098.4545164425926 1242.7075691924824
31 839.105305432768 1270.9086873846418
32 887.0822006157451 950.7649740423622
33 1340.2163287610233 1194.2914851171347
34 1338.0366175111149 1375.8340289603593
35 1120.7037145323272 955.2365140731216
36 1317.2247128094427 951.2167382351182
37 842.8534384858044 1265.0988840694006
38 883.9276439720061 773.0308462712192
39 671.2440925713328 1031.454676084281
4 837.6945819187082 1250.5957940477672
40 639.6840381787028 1365.9976478874876
5 1112.028555645866 1152.3437846541071
6 728.1598918813561 1234.773430375423
7 1028.3308377739115 1165.922061198908
8 1365.0899407145641 1176.223834362525
9 1342.2686237415978 864.0838659554743
step 16
0 1212.9125341690317 884.5362804796763
1 1118.8034752532371 974.0967385200571
10 1132.410677535233 886.0635283777918
11 910.7510409679804 862.4065687421089
12 742.8503056518291 942.6457799480037
13 1271.1347454076106 1274.354268744022
14 1130.4814814537626 953.2581527818421
15 926.3626034628372 1054.9079987525336
16 672.2554480865142 748.8819418215337
17 1208.881311536286 1419.595716580128
18 729.0669974164734 841.7806321375863
19 1262.947414819775 1376.0102395495774
2 979.0493715679528 967.7251428682513
20 629.950308567855 1288.0995788458686
21 904.0215077810097 1254.7872644750619
22 1174.4407487504925 1174.3028820651732
23 1340.8926868592619 1350.2195505568516
24 858.34656018517 1113.4790808327898
25 835.7871256688966 1307.1076635991435
26 1066.6004346995899 1172.0847772603638
27 1243.6824293702873 987.4586365405823
28 1114.8786045697782 1115.129270830123
29 967.003286459398 1219.151961197629
3 860.2182188422171 1090.6979001078803
30 1102.223296942539 1235.527177726907
31 838.5328915059788 1277.1533153419027
32 892.6326839225356 951.2073363864437
33 1334.4244958062711 1193.8418598049373
34 1338.8053252518314 1369.034066598715
35 1121.0198632830052 951.1021009217523
36 1318.3296683460017 947.7895032657912
37 842.6891854556939 1266.8869057398504
38 883.8006545781994 774.3387284894836
39 673.1495325888392 1031.6295173601254
4 838.8669016969178 1236.7174114068805
40 641.3935165658776 1366.1204600271333
42 623.837626274033 1353.5906639842965
5 1111.5849281020742 1158.1364513071683
6 736.4384731986725 1235.5036249789348
7 1021.5810996626435 1165.4011560883823
8 1364.5214268679892 1180.927266956076
9 1341.6779513617034 870.8396813005164
step 17
0 1204.183440365754 883.86312120165
1 1111.0869377638614 974.2760390732583
10 1131.740496361195 894.8277757575501
11 902.9262124622965 861.7803101753208
12 750.2664350108276 943.229630411053
13 1270.3856916214413 1283.3267309172418
14 1129.9165064758363 960.6475042641459
15 932.7758201860454 1055.4084868104717
16 672.4957400951408 745.9431021730896
17 1220.7208131739628 1420.6108483340527
18 735.8783768333483 842.3399957976616
19 1262.1927549898578 1385.6217464001554
2 971.6599947365575 967.136224412729
20 627.9233901006259 1275.0279850466186
21 895.6957333226854 1254.2599105790357
22 1187.049541948569 1175.357174913657
23 1341.528510441807 1343.1384837112446
24 857.4448469204199 1124.4544222867319
25 834.8825662410494 1318.6648234221623
26 1060.200734550369 1171.5908860221248
27 1236.2448237819642 986.9041879864573
28 1114.2264593774576 1123.644656678848
29 971.3874420349243 1208.5765058285908
3 859.2903052393121 1101.992143000562
30 1102.9821248616292 1226.0386403856771
31 837.8054592530002 1285.0890827496676
32 900.4253659259105 951.8283974521489
33 1326.471029029543 1193.2244248736336
34 1339.720024993282 1360.9426639958567
35 1121.5092384066857 944.7023320061435
36 1323.4822216151042 942.2267684451184
37 842.3398390064311 1270.6898128847333
38 883.4603560373514 777.8435126067649
39 676.7650214032317 1031.9612710082606
4 839.8873024707525 1223.7289767203233
40 645.288853015269 1366.4003083174534
42 624.0394616669544 1351.7612623378177
44 1316.6640687306192 952.9556851236729
45 1147.5949713506138 869.86241473397
5 1110.5187753715581 1164.349429195938
6 744.8573103949664 1236.2461337837503
7 1014.6820582509488 1164.868728626777
8 1362.260221555157 1187.375421426022
9 1341.1573076731222 876.7945434886662
step 18
0 1195.7880123162256 883.2156931395962
1 1101.3984041153847 973.5668200164786
10 1131.0767276447743 903.5081646717986
11 897.6816797448071 861.3605650600455
12 758.7902994706399 943.9006896618995
13 1269.8555441412088 1289.677046876446
15 939.8471915517149 1055.9603373208336
16 673.8889997449489 744.6316266135757
17 1233.2796102056168 1421.6876532577799
18 743.4224512206918 842.9595297867286
19 1261.5059715990549 1394.3687645981283
2 964.5330463639582 966.5682209769933
20 629.2345751714926 1261.2090309604478
21 887.6232593060647 1253.7486007129633
22 1199.6140775821543 1176.407767135681
23 1342.1628203191633 1336.074274761318
24 856.6573270564822 1134.0398412290526
25 834.0381603838846 1330.219022821753
26 1053.1383673891057 1171.0458540392437
27 1229.1990417122522 986.3667055767361
28 1113.540906411134 1132.5962645366176
29 972.6624114464355 1196.9464470953612
3 858.3627209106486 1113.2823780812548
30 1103.669603321632 1217.4422710706865
31 836.8719701095725 1295.2727839666284
32 908.3847830714506 952.4627469729763
33 1316.881173769183 1192.4799556012883
34 1340.5404699439634 1353.6850360458204
35 1122.1099881517107 936.8460692779579
36 1325.6822729609742 935.4064226697539
37 841.8004942330482 1276.5609992001584
38 882.980995950548 783.8409158937078
39 682.3687849608382 1032.475466764066
4 840.9518814097755 1210.178208852694
40 650.6306848275792 1366.7840755527807
41 977.9161122467942 967.6348243820851
42 624.4839759287099 1347.4565155015166
44 1320.6878737037766 950.8894839802347
45 1150.0386999668292 870.0510008731449
46 639.6840381787028 1365.9976478874876
47 1132.5698944546782 1066.8310790274593
48 1108.2834638142922 977.2776558944014
5 1107.123239407149 1169.3468069275661
6 752.8290367230027 1236.9489193573204
7 1008.4627217949678 1164.3887567981526
8 1355.5891118228183 1191.6471292768524
9 1340.6173467165313 883.0515799067625
step 19
0 1187.6412019043808 882.5874376598583
1 1090.0248320578287 972.7342529491036
10 1130.4608154603088 911.5627131401441
11 895.6204874679396 861.6750366359372
12 767.0861100439472 944.553794888377
13 1269.0712659837482 1292.436854931516
15 946.6994356279763 1056.49508711618
16 675.6070605654926 746.4414128323303
17 1243.647736841771 1422.576627717953
18 750.9695935005117 843.5793157170631
19 1260.796708323774 1403.402091348768
2 957.1550823728314 965.9802121018615
20 630.1451795319175 1251.6119114332548
21 879.3989883074424 1253.2276760380505
22 1212.4497623462817 1177.481031677309
23 1342.8139801254104 1328.82241081385
24 856.238279146123 1139.1403472119923
25 833.1570058227098 1341.4870727552623
26 1045.6710774744874 1170.469572498511
27 1221.6902858990063 985.7939055484951
28 1112.8734288990463 1141.3118521507042
29 973.9746894696195 1184.9760654170536
3 857.5657814665292 1122.9824488900724
30 1104.3671102593007 1208.7205036484074
31 835.8098146162373 1306.8601433550436
32 916.2779380624871 953.0918155335036
33 1304.8919264418967 1191.5492193188957
34 1341.2926434369965 1345.76529730166
35 1122.6700407682367 929.5220203982469
36 1327.939899547952 928.4075887635581
37 841.1374074418683 1283.7792133860416
38 882.455291542541 791.1536806007317
39 688.945127345193 1036.2950541199327
4 842.0275926798914 1196.485740234715
40 657.3852495161509 1367.26933617263
41 976.4241404781005 967.5159172360902
42 625.1162946261095 1341.2183938231349
43 623.837626274033 1353.5906639842965
44 1321.8660480590543 947.2370435489032
45 1153.8709957636838 870.3467447882872
46 642.2476061662336 1366.1818194289579
47 1134.1889343959758 1066.894914657727
48 1106.129614778574 977.1199900558978
49 1337.2219249985023 1383.0407710401444
5 1100.7101992435873 1171.1894966522982
50 848.5879385336633 1034.992618830577
51 636.14380561237 1290.673139179598
6 761.3784396473433 1237.7026327677688
7 1002.2238697018489 1163.9072788673725
8 1347.5098244066148 1191.6481872007816
9 1340.0834423681997 889.2925296056213
step 20
0 1180.0646149158176 882.003155952952
1 1078.294895534602 971.8755993262826
10 1129.8073647237177 920.1081693955979
11 889.4488697172865 861.8144741783309
12 775.0775306360683 945.1829363700409
13 1266.6980847796663 1291.761720032434
15 954.0817274087492 1057.0712018860304
16 675.356096605366 750.5418239896176
17 1249.6365717400374 1422.7926062565834
18 758.5620629754612 844.2028240043853
19 1260.084323049614 1412.4751805359688
2 950.0186669141535 965.4114541584266
20 630.7763705999834 1244.911852344178
21 871.1894424248253 1252.7076840508214
22 1225.6685180611764 1178.6038978083013
23 1343.4499440827587 1321.739780636223
24 856.71136208564 1143.9475743040894
25 832.2733390733003 1352.6006334065946
26 1039.3273243714493 1169.9799989244236
27 1213.8363988790484 985.194777434767
28 1112.2053857901535 1150.034825045072
29 974.9073396846106 1176.468585410102
3 857.0821489511959 1128.869056308987
30 1105.058222588066 1200.0786957055273
31 834.779118965366 1320.0803162689363
32 923.5861649437016 953.6742665013857
33 1290.4907834000048 1190.4252759946735
34 1341.9509843473265 1338.4334585318784
35 1123.3076142735135 921.1841975236387
36 1330.4243605621712 920.7055488933538
37 840.2697158144762 1293.2247099592253
38 881.8299562326905 799.8523521626947
